iso2,year,gender,age_group,frequency
AF,2004,f,65+,256
AF,2005,m,0-14,151
AF,2005,m,15-24,606
AF,2005,m,25-34,560
AF,2005,m,35-44,472
AF,2005,m,45-54,453
AF,2005,m,55-64,470
AF,2005,m,65+,419
AF,2005,f,0-14,320
AF,2005,f,15-24,1651
AF,2005,f,25-34,1959
AF,2005,f,35-44,1302
AF,2005,f,45-54,869
AF,2005,f,55-64,471
AF,2005,f,65+,246
AF,2006,m,0-14,193
AF,2006,m,15-24,837
AF,2006,m,25-34,791
AF,2006,m,35-44,574
AF,2006,m,45-54,572
AF,2006,m,55-64,572
AF,2006,m,65+,410
AF,2006,f,0-14,442
AF,2006,f,15-24,2139
AF,2006,f,25-34,2340
AF,2006,f,35-44,1654
AF,2006,f,45-54,1006
AF,2006,f,55-64,630
AF,2006,f,65+,309
AF,2007,m,0-14,186
AF,2007,m,15-24,856
AF,2007,m,25-34,840
AF,2007,m,35-44,597
AF,2007,m,45-54,566
AF,2007,m,55-64,630
AF,2007,m,65+,507
AF,2007,f,0-14,475
AF,2007,f,15-24,2224
AF,2007,f,25-34,2357
AF,2007,f,35-44,1708
AF,2007,f,45-54,1143
AF,2007,f,55-64,771
AF,2007,f,65+,353
AF,2008,m,0-14,187
AF,2008,m,15-24,941
AF,2008,m,25-34,773
AF,2008,m,35-44,545
AF,2008,m,45-54,570
AF,2008,m,55-64,630
AF,2008,m,65+,575
AF,2008,f,0-14,428
AF,2008,f,15-24,2094
AF,2008,f,25-34,2449
AF,2008,f,35-44,1614
AF,2008,f,45-54,1149
AF,2008,f,55-64,817
AF,2008,f,65+,364
AG,1996,m,0-14,0
AG,1996,m,15-24,0
AG,1996,m,25-34,0
AG,1996,m,35-44,0
AG,1996,m,45-54,1
AG,1996,m,55-64,0
AG,1996,m,65+,0
AG,1996,f,0-14,0
AG,1996,f,15-24,0
AG,1996,f,25-34,0
AG,1996,f,35-44,1
AG,1996,f,45-54,0
AG,1996,f,55-64,0
AG,1996,f,65+,0
AG,2000,m,0-14,0
AG,2000,m,15-24,0
AG,2000,m,25-34,0
AG,2000,m,35-44,0
AG,2000,m,45-54,0
AG,2000,m,55-64,0
AG,2000,m,65+,1
AG,2000,f,0-14,1
AG,2000,f,15-24,1
AG,2000,f,25-34,1
AG,2000,f,35-44,0
AG,2000,f,45-54,0
AG,2000,f,55-64,0
AG,2000,f,65+,0
AG,2001,f,0-14,0
AG,2001,f,15-24,1
AG,2001,f,25-34,0
AG,2001,f,35-44,0
AG,2001,f,45-54,0
AG,2001,f,55-64,0
AG,2001,f,65+,0
AG,2002,m,0-14,0
AG,2002,m,15-24,0
AG,2002,m,25-34,1
AG,2002,m,35-44,0
AG,2002,m,45-54,0
AG,2002,m,55-64,0
AG,2002,m,65+,0
AG,2002,f,0-14,2
AG,2002,f,15-24,0
AG,2002,f,25-34,1
AG,2002,f,35-44,0
AG,2002,f,45-54,0
AG,2002,f,55-64,0
AG,2002,f,65+,0
AG,2003,m,0-14,0
AG,2003,m,15-24,0
AG,2003,m,25-34,1
AG,2003,m,35-44,0
AG,2003,m,45-54,0
AG,2003,m,55-64,0
AG,2003,m,65+,0
AG,2003,f,0-14,0
AG,2003,f,15-24,0
AG,2003,f,25-34,0
AG,2003,f,35-44,0
AG,2003,f,45-54,0
AG,2003,f,55-64,0
AG,2003,f,65+,0
AG,2005,m,35-44,1
AG,2005,m,45-54,1
AG,2005,f,15-24,2
AG,2005,f,25-34,2
AG,2007,m,0-4,0
AG,2007,m,5-14,0
AG,2007,m,0-14,0
AG,2007,m,15-24,0
AG,2007,m,25-34,0
AG,2007,m,35-44,0
AG,2007,m,45-54,1
AG,2007,m,55-64,1
AG,2007,m,65+,0
AG,2007,f,0-4,0
AG,2007,f,5-14,0
AG,2007,f,0-14,0
AG,2007,f,15-24,0
AG,2007,f,25-34,0
AG,2007,f,35-44,0
AG,2007,f,45-54,0
AG,2007,f,55-64,0
AG,2007,f,65+,0
AG,2008,m,45-54,1
AI,2003,f,35-44,1
AI,2004,m,0-14,0
AI,2004,m,15-24,0
AI,2004,m,25-34,0
AI,2004,m,35-44,0
AI,2004,m,45-54,0
AI,2004,m,55-64,0
AI,2004,m,65+,0
AI,2004,f,0-14,0
AI,2004,f,15-24,0
AI,2004,f,25-34,0
AI,2004,f,35-44,0
AI,2004,f,45-54,0
AI,2004,f,55-64,0
AI,2004,f,65+,0
AL,1995,m,0-14,0
AL,1995,m,15-24,0
AL,1995,m,25-34,0
AL,1995,m,35-44,0
AL,1995,m,45-54,19
AL,1995,m,55-64,40
AL,1995,m,65+,30
AL,1995,f,0-14,0
AL,1995,f,15-24,1
AL,1995,f,25-34,0
AL,1995,f,35-44,0
AL,1995,f,45-54,13
AL,1995,f,55-64,20
AL,1995,f,65+,16
AL,1997,m,0-14,0
AL,1997,m,15-24,23
AL,1997,m,25-34,43
AL,1997,m,35-44,33
AL,1997,m,45-54,25
AL,1997,m,55-64,21
AL,1997,m,65+,19
AL,1997,f,0-14,1
AL,1997,f,15-24,16
AL,1997,f,25-34,19
AL,1997,f,35-44,14
AL,1997,f,45-54,9
AL,1997,f,55-64,10
AL,1997,f,65+,8
AL,1998,m,0-14,1
AL,1998,m,15-24,17
AL,1998,m,25-34,21
AL,1998,m,35-44,24
AL,1998,m,45-54,18
AL,1998,m,55-64,26
AL,1998,m,65+,24
AL,1998,f,0-14,2
AL,1998,f,15-24,19
AL,1998,f,25-34,11
AL,1998,f,35-44,12
AL,1998,f,45-54,13
AL,1998,f,55-64,11
AL,1998,f,65+,13
AL,1999,m,0-14,0
AL,1999,m,15-24,13
AL,1999,m,25-34,23
AL,1999,m,35-44,25
AL,1999,m,45-54,19
AL,1999,m,55-64,15
AL,1999,m,65+,15
AL,1999,f,0-14,0
AL,1999,f,15-24,5
AL,1999,f,25-34,13
AL,1999,f,35-44,11
AL,1999,f,45-54,5
AL,1999,f,55-64,8
AL,1999,f,65+,16
AL,2000,m,0-14,2
AL,2000,m,15-24,19
AL,2000,m,25-34,21
AL,2000,m,35-44,14
AL,2000,m,45-54,24
AL,2000,m,55-64,19
AL,2000,m,65+,16
AL,2000,f,0-14,3
AL,2000,f,15-24,11
AL,2000,f,25-34,10
AL,2000,f,35-44,8
AL,2000,f,45-54,8
AL,2000,f,55-64,5
AL,2000,f,65+,11
AL,2001,m,0-14,3
AL,2001,m,15-24,13
AL,2001,m,25-34,18
AL,2001,m,35-44,17
AL,2001,m,45-54,19
AL,2001,m,55-64,20
AL,2001,m,65+,30
AL,2001,f,0-14,1
AL,2001,f,15-24,12
AL,2001,f,25-34,10
AL,2001,f,35-44,5
AL,2001,f,45-54,7
AL,2001,f,55-64,7
AL,2001,f,65+,9
AL,2002,m,0-14,0
AL,2002,m,15-24,21
AL,2002,m,25-34,27
AL,2002,m,35-44,29
AL,2002,m,45-54,19
AL,2002,m,55-64,23
AL,2002,m,65+,25
AL,2002,f,0-14,2
AL,2002,f,15-24,20
AL,2002,f,25-34,19
AL,2002,f,35-44,9
AL,2002,f,45-54,6
AL,2002,f,55-64,8
AL,2002,f,65+,17
AL,2003,m,0-14,0
AL,2003,m,15-24,28
AL,2003,m,25-34,19
AL,2003,m,35-44,32
AL,2003,m,45-54,16
AL,2003,m,55-64,22
AL,2003,m,65+,19
AL,2003,f,0-14,2
AL,2003,f,15-24,13
AL,2003,f,25-34,8
AL,2003,f,35-44,6
AL,2003,f,45-54,14
AL,2003,f,55-64,12
AL,2003,f,65+,20
AL,2004,m,0-14,5
AL,2004,m,15-24,12
AL,2004,m,25-34,19
AL,2004,m,35-44,21
AL,2004,m,45-54,24
AL,2004,m,55-64,23
AL,2004,m,65+,20
AL,2004,f,0-14,2
AL,2004,f,15-24,12
AL,2004,f,25-34,12
AL,2004,f,35-44,8
AL,2004,f,45-54,11
AL,2004,f,55-64,10
AL,2004,f,65+,22
AL,2005,m,0-4,0
AL,2005,m,5-14,0
AL,2005,m,0-14,0
AL,2005,m,15-24,26
AL,2005,m,25-34,21
AL,2005,m,35-44,16
AL,2005,m,45-54,31
AL,2005,m,55-64,20
AL,2005,m,65+,37
AL,2005,m,unknown,0
AL,2005,f,0-4,0
AL,2005,f,5-14,0
AL,2005,f,0-14,0
AL,2005,f,15-24,3
AL,2005,f,25-34,9
AL,2005,f,35-44,5
AL,2005,f,45-54,5
AL,2005,f,55-64,5
AL,2005,f,65+,18
AL,2005,f,unknown,0
AL,2006,m,0-4,1
AL,2006,m,5-14,4
AL,2006,m,0-14,5
AL,2006,m,15-24,24
AL,2006,m,25-34,19
AL,2006,m,35-44,22
AL,2006,m,45-54,21
AL,2006,m,55-64,19
AL,2006,m,65+,20
AL,2006,m,unknown,0
AL,2006,f,0-4,0
AL,2006,f,5-14,2
AL,2006,f,0-14,2
AL,2006,f,15-24,12
AL,2006,f,25-34,8
AL,2006,f,35-44,7
AL,2006,f,45-54,7
AL,2006,f,55-64,7
AL,2006,f,65+,13
AL,2006,f,unknown,0
AL,2007,m,0-4,0
AL,2007,m,5-14,0
AL,2007,m,0-14,0
AL,2007,m,15-24,19
AL,2007,m,25-34,13
AL,2007,m,35-44,16
AL,2007,m,45-54,24
AL,2007,m,55-64,16
AL,2007,m,65+,19
AL,2007,m,unknown,0
AL,2007,f,0-4,0
AL,2007,f,5-14,2
AL,2007,f,0-14,2
AL,2007,f,15-24,13
AL,2007,f,25-34,9
AL,2007,f,35-44,7
AL,2007,f,45-54,7
AL,2007,f,55-64,11
AL,2007,f,65+,9
AL,2007,f,unknown,0
AL,2008,m,0-4,1
AL,2008,m,5-14,0
AL,2008,m,0-14,1
AL,2008,m,15-24,23
AL,2008,m,25-34,26
AL,2008,m,35-44,13
AL,2008,m,45-54,19
AL,2008,m,55-64,13
AL,2008,m,65+,16
AL,2008,f,0-4,0
AL,2008,f,5-14,1
AL,2008,f,0-14,1
AL,2008,f,15-24,20
AL,2008,f,25-34,10
AL,2008,f,35-44,8
AL,2008,f,45-54,5
AL,2008,f,55-64,5
AL,2008,f,65+,10
AM,1995,m,0-14,1
AM,1995,m,15-24,18
AM,1995,m,25-34,16
AM,1995,m,35-44,11
AM,1995,m,45-54,10
AM,1995,m,55-64,8
AM,1995,m,65+,1
AM,1995,f,0-14,1
AM,1995,f,15-24,1
AM,1995,f,25-34,7
AM,1995,f,35-44,2
AM,1995,f,45-54,1
AM,1995,f,55-64,1
AM,1996,m,0-14,2
AM,1996,m,15-24,53
AM,1996,m,25-34,100
AM,1996,m,35-44,51
AM,1996,m,45-54,43
AM,1996,m,55-64,30
AM,1996,m,65+,7
AM,1996,f,0-14,0
AM,1996,f,15-24,9
AM,1996,f,25-34,11
AM,1996,f,35-44,9
AM,1996,f,45-54,8
AM,1996,f,55-64,4
AM,1996,f,65+,0
AM,1997,m,0-14,2
AM,1997,m,15-24,85
AM,1997,m,25-34,59
AM,1997,m,35-44,77
AM,1997,m,45-54,51
AM,1997,m,55-64,34
AM,1997,m,65+,12
AM,1997,f,0-14,3
AM,1997,f,15-24,16
AM,1997,f,25-34,22
AM,1997,f,35-44,17
AM,1997,f,45-54,7
AM,1997,f,55-64,14
AM,1997,f,65+,1
AM,1998,m,0-14,2
AM,1998,m,15-24,159
AM,1998,m,25-34,90
AM,1998,m,35-44,79
AM,1998,m,45-54,39
AM,1998,m,55-64,17
AM,1998,m,65+,15
AM,1998,f,0-14,1
AM,1998,f,15-24,21
AM,1998,f,25-34,20
AM,1998,f,35-44,11
AM,1998,f,45-54,10
AM,1998,f,55-64,5
AM,1998,f,65+,6
AM,1999,m,0-14,4
AM,1999,m,15-24,151
AM,1999,m,25-34,88
AM,1999,m,35-44,115
AM,1999,m,45-54,76
AM,1999,m,55-64,37
AM,1999,m,65+,20
AM,1999,f,0-14,6
AM,1999,f,15-24,22
AM,1999,f,25-34,15
AM,1999,f,35-44,20
AM,1999,f,45-54,6
AM,1999,f,55-64,9
AM,1999,f,65+,7
AM,2000,m,0-14,2
AM,2000,m,15-24,152
AM,2000,m,25-34,130
AM,2000,m,35-44,131
AM,2000,m,45-54,63
AM,2000,m,55-64,26
AM,2000,m,65+,21
AM,2000,f,0-14,1
AM,2000,f,15-24,24
AM,2000,f,25-34,27
AM,2000,f,35-44,24
AM,2000,f,45-54,8
AM,2000,f,55-64,8
AM,2000,f,65+,4
AM,2001,m,0-14,2
AM,2001,m,15-24,154
AM,2001,m,25-34,120
AM,2001,m,35-44,93
AM,2001,m,45-54,54
AM,2001,m,55-64,24
AM,2001,m,65+,9
AM,2001,f,0-14,1
AM,2001,f,15-24,40
AM,2001,f,25-34,31
AM,2001,f,35-44,22
AM,2001,f,45-54,10
AM,2001,f,55-64,7
AM,2001,f,65+,5
AM,2002,m,0-14,1
AM,2002,m,15-24,95
AM,2002,m,25-34,63
AM,2002,m,35-44,109
AM,2002,m,45-54,93
AM,2002,m,55-64,21
AM,2002,m,65+,14
AM,2002,f,0-14,2
AM,2002,f,15-24,16
AM,2002,f,25-34,24
AM,2002,f,35-44,32
AM,2002,f,45-54,36
AM,2002,f,55-64,4
AM,2002,f,65+,1
AM,2003,m,0-14,12
AM,2003,m,15-24,120
AM,2003,m,25-34,98
AM,2003,m,35-44,75
AM,2003,m,45-54,104
AM,2003,m,55-64,49
AM,2003,m,65+,18
AM,2003,f,0-14,2
AM,2003,f,15-24,29
AM,2003,f,25-34,31
AM,2003,f,35-44,13
AM,2003,f,45-54,12
AM,2003,f,55-64,9
AM,2003,f,65+,3
AM,2004,m,0-14,2
AM,2004,m,15-24,130
AM,2004,m,25-34,72
AM,2004,m,35-44,76
AM,2004,m,45-54,62
AM,2004,m,55-64,25
AM,2004,m,65+,24
AM,2004,f,0-14,1
AM,2004,f,15-24,24
AM,2004,f,25-34,17
AM,2004,f,35-44,12
AM,2004,f,45-54,10
AM,2004,f,55-64,3
AM,2004,f,65+,3
AM,2005,m,0-4,1
AM,2005,m,5-14,2
AM,2005,m,0-14,3
AM,2005,m,15-24,170
AM,2005,m,25-34,104
AM,2005,m,35-44,83
AM,2005,m,45-54,84
AM,2005,m,55-64,30
AM,2005,m,65+,24
AM,2005,m,unknown,0
AM,2005,f,0-4,0
AM,2005,f,5-14,3
AM,2005,f,0-14,3
AM,2005,f,15-24,27
AM,2005,f,25-34,21
AM,2005,f,35-44,10
AM,2005,f,45-54,11
AM,2005,f,55-64,4
AM,2005,f,65+,7
AM,2005,f,unknown,0
AM,2006,m,0-4,0
AM,2006,m,5-14,0
AM,2006,m,0-14,0
AM,2006,m,15-24,113
AM,2006,m,25-34,116
AM,2006,m,35-44,96
AM,2006,m,45-54,98
AM,2006,m,55-64,38
AM,2006,m,65+,17
AM,2006,m,unknown,0
AM,2006,f,0-4,0
AM,2006,f,5-14,3
AM,2006,f,0-14,3
AM,2006,f,15-24,28
AM,2006,f,25-34,29
AM,2006,f,35-44,16
AM,2006,f,45-54,15
AM,2006,f,55-64,7
AM,2006,f,65+,4
AM,2006,f,unknown,0
AM,2007,m,0-4,0
AM,2007,m,5-14,1
AM,2007,m,0-14,1
AM,2007,m,15-24,81
AM,2007,m,25-34,87
AM,2007,m,35-44,100
AM,2007,m,45-54,92
AM,2007,m,55-64,29
AM,2007,m,65+,20
AM,2007,m,unknown,0
AM,2007,f,0-4,0
AM,2007,f,5-14,2
AM,2007,f,0-14,2
AM,2007,f,15-24,31
AM,2007,f,25-34,22
AM,2007,f,35-44,11
AM,2007,f,45-54,7
AM,2007,f,55-64,7
AM,2007,f,65+,7
AM,2007,f,unknown,0
AM,2008,m,0-4,0
AM,2008,m,5-14,0
AM,2008,m,0-14,0
AM,2008,m,15-24,53
AM,2008,m,25-34,103
AM,2008,m,35-44,74
AM,2008,m,45-54,87
AM,2008,m,55-64,37
AM,2008,m,65+,15
AM,2008,m,unknown,0
AM,2008,f,0-4,0
AM,2008,f,5-14,4
AM,2008,f,0-14,4
AM,2008,f,15-24,44
AM,2008,f,25-34,25
AM,2008,f,35-44,10
AM,2008,f,45-54,14
AM,2008,f,55-64,10
AM,2008,f,65+,11
AM,2008,f,unknown,0
AN,1996,m,0-14,0
AN,1996,m,15-24,0
AN,1996,m,25-34,0
AN,1996,m,35-44,0
AN,1996,m,45-54,1
AN,1996,m,55-64,1
AN,1996,m,65+,1
AN,1996,f,0-14,0
AN,1996,f,15-24,0
AN,1996,f,25-34,0
AN,1996,f,35-44,1
AN,1996,f,45-54,0
AN,1996,f,55-64,0
AN,1996,f,65+,0
AN,1997,m,0-14,0
AN,1997,m,15-24,0
AN,1997,m,25-34,1
AN,1997,m,35-44,1
AN,1997,m,45-54,0
AN,1997,m,55-64,1
AN,1997,m,65+,3
AN,1997,f,0-14,0
AN,1997,f,15-24,0
AN,1997,f,25-34,2
